Geneid,Int._Ctrl_#1_1,PD_126_R10_S1_1,PD_126_R11_S1_1,PD_126_R12_S1_1,PD_126_R13_S1_1,PD_126_R14_S1_1,PD_126_R15_S1_1,PD_126_R16_S1_1,PD_126_R5_S1_1,PD_126_R6_S1_1,PD_126_R7_S1_1,PD_126_R8_S1_1,PD_126_R9_S1_1,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1
b3980,9.89870800242633,10.285959907358327,10.522043817277345,10.345484173832235,10.53403165061126,10.345528951925383,10.188812990573025,10.347092564984488,10.443242144462872,10.622264443666472,10.609755807231133,10.405822896928495,10.48649002898476,9.46636849020604,8.926799236605074,4.596984965519643,4.787659651306076,4.896468543325388,4.76753460033759,4.603775165684258,4.6572556613831795,7.044394375934064,7.128288006191656
b3981,9.99557072536331,9.944940641398555,9.967712488232726,9.836722821881516,9.858932671192099,9.865995690926558,9.840719252082238,9.821319821232198,9.797423463790473,9.826306289502908,9.889430337287996,9.821733926661333,9.890351029119332,10.027705638376414,9.478324933798492,9.430692285687428,9.293980950405478,9.30327994671564,9.313936163524854,9.384651262514197,9.511816499731445,9.41040014396162,9.391287436735329
b3982,9.51451093083794,9.22290656173724,9.184141958458872,9.290521320331885,9.202995952035094,9.147925865313274,9.288717103074037,9.217248248511769,9.252779666131671,9.173310850075838,9.218225801252236,9.380011850524026,9.391859386760773,9.331366438500996,8.963419488200119,9.122176766509817,9.083220453846225,8.982982298108954,8.971244403243814,9.125905256912425,9.209314530390776,8.886309428961171,8.830608179062757
b3983,10.587079950225082,10.812249609845571,10.675726315710893,10.666588042086028,10.798920858138354,10.715250945313812,10.787693566582167,10.844808109132009,10.793535047676006,10.724863767696503,10.848516867716837,10.941341156384187,10.880463088542932,10.519221153423079,10.291602877830433,5.416934381897718,4.692415887225227,5.415509389588439,5.157518854563517,5.519654493041476,5.467680302064798,9.969585917586027,10.245777940937602
b3984,10.309376980196408,10.605144524981524,10.518274441297208,10.370699765643549,10.472542218016613,10.568289866912886,10.467512949368997,10.37439470111058,10.487188965746716,10.484116292187762,10.45710586924771,10.599194799709437,10.633652965532743,10.421328475321962,10.09044136720985,5.654085115633649,5.528727004536898,5.607102797519819,5.7177087999095955,5.517819645341335,5.784010628591495,9.959973215660503,10.137849253429804
b3985,11.656966358718567,11.428319398256944,11.329859542916353,11.307487191502958,11.406406978748688,11.411577874988485,11.292851465422709,11.339617115534677,11.324952957941912,11.382940776387413,11.45219032084801,11.410383362362516,11.347743075901413,11.416970002385911,11.27020951476512,9.118047931177456,9.145509874837058,9.326814605532583,9.379093932668969,9.231064835029832,9.053937782975087,11.928654735961008,11.86649439440987
b3986,11.747148997895895,11.39859279674303,11.428258049053266,11.33961502275506,11.400464534679656,11.41969632408454,11.366034245059435,11.3807761567656,11.329000503103337,11.401573218916054,11.185426489321536,11.326034136644346,11.386918391056884,11.608702522574465,11.468544755915776,9.536800711484085,9.583821310449052,9.821160362003695,9.787109266184878,9.551227184659172,9.619869786190236,11.90600593273023,11.88021090879498
b3987,9.046894437860425,9.50760595495693,9.322369632564383,9.294185054405338,9.329243925190802,9.562062880028371,9.471675702589524,9.500053434485304,9.347712627102343,9.253149730161937,9.401848984962047,9.556862887523963,9.646483025085338,8.773251350487957,9.361255356194354,9.635667786445518,9.695769709668513,9.744386793257073,9.758644002605351,9.783719625455188,9.770374602222383,10.320588828752188,10.159411248700053
b3988,9.031934121505367,9.539737701024492,9.397740255434051,9.276415689400475,9.315862828358881,9.541629844387794,9.501103766176898,9.487277319456194,9.291234586164848,9.291423694271968,9.363878293332235,9.550067735840559,9.61062255559527,9.010348280627495,9.160370998228634,9.800222130794278,9.775118575968309,9.809785896914967,9.77309461047217,9.888618595920638,9.95160411105749,9.853439759153892,9.869498872351885
b3989,3.345989274325542,3.6228869512384705,3.2713322989118048,3.6309365021734172,3.5344030401879634,3.4667273847925744,3.6175956817959296,3.6918947868776177,3.6437929929868416,3.4788463389353796,3.645615640362555,3.911773457454948,3.221184958931914,2.884927773427453,2.527569757994782,3.3986482391514796,3.0233793220995104,3.4976915864094456,3.5070792850001005,3.3191591239498983,3.110346305712835,3.525362836323819,3.1289008468772748
b3990,9.335074585670805,2.9873909688921874,3.016674305776518,3.041038133767719,2.9060301922120417,3.032575490058361,2.9600800181410785,3.213504545773462,2.7965962275458245,3.0100623474137653,2.6967626402868534,2.717152328883012,2.7673382321627384,2.2438000956827646,2.5098382689055705,4.2232762609739325,4.081771049169556,4.279334771145472,4.4627448801912175,4.389387131029876,4.201754419341262,2.9893753779035377,2.872757601742635
b3991,9.481761568422002,3.158360473780445,3.284032285445264,2.78185573561392,3.0231936969371405,2.6350075319252886,3.1532470839298026,3.038888248241757,2.9897170742606156,2.9678952113852857,2.987904056605024,2.8653937250403185,2.8282906353948025,2.1540416446094195,2.680312081776776,3.579864907438198,3.7326569084651005,3.891147894510557,3.8648865440187414,3.8612790763550953,3.8640627056526142,3.092801621724,2.848315721623309
b4407,9.252614359394721,2.2634455390790116,2.4131026414568835,2.895552810405227,2.5662434777049272,3.1866034159614407,1.8706598511120136,1.6652557952232376,1.3773837574933088,2.807052208863625,2.909379104121703,2.223422307574552,3.1379084981983927,1.3049249203025757,1.681501030379866,2.889787272254415,2.931929622830017,3.3177049745025338,2.2220392364097217,3.666555021962405,3.395682767645557,1.5489144872692782,2.914899936493527
b3992,9.450082419145208,2.562919602216792,2.7240614554892817,2.650858662277151,2.706209284960208,2.4846338135487325,2.571669181113707,2.8202115013638767,2.608402253721953,2.636798912187413,2.8198030227430366,2.3341129806099934,2.476077312461862,1.4299788253157422,2.2850585530953866,2.5667214618427745,3.5333775755070227,3.5767208263425547,3.4770900001580003,3.165107427714452,3.036917054695612,2.8020009537043484,2.7079794551632146
b3993,9.255014427811867,2.0911504274457196,1.7624194936299795,2.135146736319254,2.707421911053891,2.531377278976787,2.2310425665238696,2.843390788443512,2.514375699704639,2.499076587435069,2.090526276786038,2.315176908607986,2.3532645338627827,0.9483009826413044,1.419245047456041,3.32276858898137,3.461134461016969,3.4177307959759125,3.187309809418997,3.069386226116277,3.3914128335340274,2.0862020133409303,2.192520619465429
b3994,9.985210683584423,4.11686435553311,4.120686794864903,4.081796414250804,4.027507584520836,3.819366708519495,3.9678254260649437,4.154341178801125,3.8234549145473427,4.1462771886336025,4.067413916368626,4.000617142862706,3.880770411304915,3.1704974582684224,2.598164869920847,3.5790492125872273,3.7122941951403523,3.6428671796756644,3.644124235582032,3.8254498457203936,3.738730085277525,4.383582454344876,4.378270193339952
