Geneid,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1,PD_132_R10_S1_1,PD_132_R10_S2_1,PD_132_R11_S1_1,PD_132_R11_S2_1,PD_132_R12_S1_1,PD_132_R12_S2_1,PD_132_R13_S1_1,PD_132_R13_S2_1,PD_132_R5_S1_1,PD_132_R6_S1_1,PD_132_R7_S1_1,PD_132_R8_S1_1,PD_132_R8_S2_1,PD_132_R9_S1_1,PD_132_R9_S2_1
b3904,0.11989948450556769,0.0,0.09022130663570242,0.09197364693081791,0.0,0.0,0.0,0.0,0.0,0.11464996674430412,0.4248976788446892,0.4294966945201468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3905,2.069062313605195,8.277163083943105,8.09998994647487,8.200030038351027,8.026236685124989,7.564814094711463,7.85939009949792,7.56279204067558,7.249155159133788,7.563147831188474,2.002672650280825,1.7807492494434447,2.6132105109768013,1.581388989774567,0.7641788460234318,1.5680485658360113,7.459651696263002,7.492981041803212,7.420694771684088,7.784242828099433,7.886152776182682,7.6881229162301965,7.906769029523583
b3906,1.137744188912623,6.263475042827176,6.102495496738399,5.992929205311471,5.740312272995259,5.861231558725681,5.5460792956847875,5.843983631732346,5.852427791097685,5.448809111979692,1.4745376034049853,0.6784356926771591,1.42336116505543,1.8556786142782251,1.2491802665275238,2.285259866464286,5.587228867981168,5.802586344203995,5.866550316414457,6.233602655656613,5.772727529882987,6.105758437923651,5.751564769988304
b3907,4.158830793853723,12.539009231844565,12.349504002835715,12.540420974736358,12.119406618866158,12.365226066532099,12.105710241098176,12.319756025110351,11.14313940754319,11.61317298435501,3.3564147528549744,3.7871323060619044,4.056393602177519,3.9544294111264646,4.627689158982075,3.720629764689559,11.948418538752046,12.051394054359196,12.096578203454541,11.537490995763998,12.200962036972735,11.39645641181406,11.936709090430455
b3908,13.254831684010126,11.888355537932993,11.677059892181092,11.92758695245862,11.740861119429296,11.570797543559948,11.709943949756063,11.577501374719036,12.157548632877715,12.626961012061956,9.07060428450318,9.146084422834281,8.994340337656325,9.000474787838455,9.102744599678143,9.098983730476519,12.268324360922785,12.304523434919922,12.360514197900326,12.279171014139694,12.67546032133089,12.024817186189583,12.467943227890517
b3909,5.04337504157516,4.066502665899735,4.012197901619676,3.8053766540570653,3.9930533198335874,3.9506480080677533,4.097746827034736,3.7380031621401,4.408782533727599,4.039622481603509,6.271136545759307,6.094743613834602,6.200968320598792,5.727297882920082,5.432253192418134,5.660699041204752,4.203855749424774,4.383318938424326,4.518366000869533,4.4620177849552904,4.397472569406288,4.392789482249884,4.01492552247748
b3910,6.487043391010103,6.749165202035657,6.673103209615874,6.602775366873806,7.007479385870233,6.713237957069913,6.885478756151868,6.714567505077775,7.240341769489309,6.811467894210121,6.211251002270149,6.059618189818402,6.489599980841987,6.182952754526822,6.1171871915571465,6.2580647218194985,6.8415216589952825,6.918152811713467,6.9765065682703,7.238519747823564,6.867943143210118,7.242713780214052,6.987320158369039
b3911,6.375940140284253,6.867741678211398,6.700595006684964,6.744204702738498,7.033484539606167,6.9597914203860825,6.962015204850985,6.9306228499465075,6.640558591695921,7.33322541173092,5.678004241071498,5.62143415628942,5.727068279036359,5.558425058954891,5.604367752850006,5.599395073181463,6.852426909267301,6.976824340559232,6.989137653265833,6.6850889367397786,7.151003627606963,6.678525809380808,7.227089509654371
b3912,7.265879322661742,8.0519329353045,7.796687250525442,7.865148878632126,8.245077925164917,7.900823155101634,8.088184891645211,7.829239589220814,7.986725806501922,7.822933401583294,6.787577985300202,6.502985969427524,6.569564414193426,6.414541833589229,6.564743045469022,6.559719551162437,7.611846638333296,7.611858349624732,7.637015821364457,8.050349502829478,7.698110762892536,8.096513314003602,7.811596976617613
b4484,4.869076780357933,7.430539119808004,7.463746415162684,7.42246686283593,7.447470145740871,7.156045002347561,7.584326282160197,7.173637466426738,10.615815612607658,8.535666097484974,6.235739256070055,6.752645258015583,6.5708646013732,6.65631826149141,7.639194700471472,7.477973904845363,9.189304768954859,9.167686331315526,9.301459263152099,10.295292026676316,8.375716783744688,10.35027641038444,8.366794269589592
b3915,7.788385127202495,7.393852511079168,7.29949357671499,7.347068607366797,7.538984870898144,7.220701696322351,7.477576037490525,7.308459768318437,7.843368932914536,7.58747569099411,6.04941243274826,6.556771669892824,6.526697693207521,6.076599457316224,6.567830751159344,6.703394752049737,7.586498912268399,7.614842815360315,7.6800486643089,7.695858879252996,7.5573077815944565,7.753715664476342,7.509869933361995
b3916,8.778045787234811,8.003988760027434,7.670525858952768,7.830302216679178,7.832401509260819,7.8882340914148035,7.765361120068003,7.994997318292638,8.006242693077105,8.771811289469495,7.587508856200045,7.7002117174299105,7.816489437624158,7.725949002188473,7.5260766653617095,7.67414469874185,8.16334410115203,8.234139313369601,8.305044805791733,7.937805629270083,8.645428606843797,7.942185771562285,8.615821888109016
b3917,4.0504808571399895,3.9465465551808867,4.159043506766731,4.030842102724536,6.36430429958881,4.894747603457054,6.244907491374513,4.954167828798603,10.912070209981488,9.691411746825748,6.0574495666232995,6.086102113727972,6.0941905248358115,6.1422409332735075,6.017265985264368,6.2538831687874605,8.360469199934924,8.448690881823055,8.251760357717822,9.72209560957543,8.676842718986322,10.101436231627623,9.013162946827027
b3918,2.786102124210476,2.392673400037765,2.496417468524122,2.4541525201219514,3.115579231667745,1.2975759809350806,3.00642501632394,1.3254617394922534,5.142952795333293,3.9518354508589084,1.8733061879160078,2.8213763340738782,2.9866677282700964,1.9787173560563212,2.2827836394674055,1.9637568002237715,3.150870520836452,3.8189549203736655,3.676575149597011,4.227267008685702,3.146477236934238,4.518049682965225,3.5244368151717156
b3919,8.623684297677805,9.301090985236371,9.04524509184001,9.263818088557919,9.384129866603626,9.019335326199824,9.334458860659659,9.128489772224114,8.95565498703433,8.620678221676288,7.115405934431939,7.048955518528745,7.273507431117273,7.194728616662853,7.035147471161945,7.0713745105609895,8.898216954495805,9.00539685453935,9.030984834823519,9.109131964606162,8.808010843063004,9.056878424718406,8.762030190439901
